state,city,zipcode,address,zpid,bathrooms,bedrooms,sqft,hometype,zestimate,rentzestimate,real rent
NC,Durham,27712,3 Moss Creek Ct,50027571,3,4,4525,SingleFamily,498133,2793,"3,000"
NC,Durham,27713,203 Swift Creek Xing,2113510886,3,4,3559,SingleFamily,600038,3367,"2,600"
NC,Durham,27703,114 Glenview Ln,109949269,2.5,4,2563,SingleFamily,255188,1650,"1,700"
NC,Durham,27712,3 Moss Creek Ct,50027571,3,4,4525,SingleFamily,498133,2793,"3,000"
NC,Durham,27713,203 Swift Creek Xing,2113510886,3,4,3559,SingleFamily,600038,3367,"2,600"
NC,Durham,27713,4609 Coral Dr,97868290,2.5,4,2139,SingleFamily,241676,1650,"1,800"
NC,Morrisville,27560,209 King Lear Ln,114429136,2.5,4,3000,SingleFamily,288424,1600,"1,850"
NC,Durham,27713,120 Crooked Creek Ln,84509517,3,4,5800,SingleFamily,890825,4753,"4,000"
NC,Durham,27713,5502 Grand Mesa Dr,59712115,2.5,4,1984,SingleFamily,231992,2600,"2,750"
NC,Durham,27713,5 Cibola Ct,59712135,2.5,4,1980,SingleFamily,232232,2300,"2,750"
NC,Durham,27705,4806 Hillsborough Rd,119255293,3,5,2450,SingleFamily,288581,1595,"2,500"
NC,DURHAM,27705,4804 Hillsborough Rd,98201444,3,5,2450,SingleFamily,284992,1650,"2,500"
NC,Durham,27713,125 Victorian Oaks Dr,114429877,3,5,2769,SingleFamily,333680,1999,"2,450"
NC,Durham,27705,4115 Peachway Dr,49994394,3,5,2750,SingleFamily,363553,2018,"2,400"
NC,Durham,27703,309 Vintage Holly Dr,122690541,3,5,2900,SingleFamily,276752,1500,"1,895"
NC,Durham,27703,813 Poplar St,98198893,3,5,2678,SingleFamily,259141,1550,"2,295"
NC,Durham,27703,813 Poplar St,98198893,3,5,2678,SingleFamily,259141,1550,"2,295"
NC,Durham,27703,105 Elmsford St,124722731,3.5,5,3295,SingleFamily,317784,1646,"2,250"
NC,Durham,27712,222 Tennwood Ct,50027701,4,5,6456,SingleFamily,1035138,5810,"7,500"
NC,Durham,27713,5 Ontario Ct,50001759,3.5,5,3700,SingleFamily,437679,2454,"2,400"
NC,Durham,27707,3860 Somerset Dr,49984137,3,5,4400,SingleFamily,796772,4466,"2,495"
